common_name,species_group,latin_name,est_pop,IUCN_abbr,IUCN_category,Trend,domesticated_YN
Mule,odd-toed ungulates,Equus asinus x Equus caballus,10000000,,,,TRUE
Donkey,odd-toed ungulates,Equus africanus asinus,40000000,,,,TRUE
Horse,odd-toed ungulates,Equus ferus caballus,58000000,,,,TRUE
Hainan black crested gibbon,Primate,Nomascus hainanus,20,CR,Critically Endangered,Steady,FALSE
Eastern black crested gibbon,Primate,Nomascus nasutus,36,CR,Critically Endangered,Decrease,FALSE
Perrier's sifaka,Primate,Propithecus perrieri,230,CR,Critically Endangered,Decrease,FALSE
Silky sifaka,Primate,Propithecus candidus,250,CR,Critically Endangered,Decrease,FALSE
Tonkin snub-nosed monkey,Primate,Rhinopithecus avunculus,250,CR,Critically Endangered,Decrease,FALSE
Barbara Brown's titi,Primate,Callicebus barbarabrownae,260,CR,Critically Endangered,Decrease,FALSE
Myanmar snub-nosed monkey,Primate,Rhinopithecus strykeri,295,CR,Critically Endangered,Decrease,FALSE
Sarawak surili,Primate,Presbytis chrysomelas,350,CR,Critically Endangered,Decrease,FALSE
Superagui lion tamarin,Primate,Leontopithecus caissara,400,CR,Critically Endangered,Decrease,FALSE
Blond capuchin,Primate,Cebus flavius,500,EN,Endangered,Decrease,FALSE
Greater bamboo lemur,Primate,Prolemur simus,500,CR,Critically Endangered,Decrease,FALSE
Kashmir gray langur,Primate,Semnopithecus ajax,500,EN,Endangered,Decrease,FALSE
Arunachal macaque,Primate,Macaca munzala,569,EN,Endangered,Decrease,FALSE
Gray-shanked douc,Primate,Pygathrix cinerea,625,CR,Critically Endangered,Decrease,FALSE
Coimbra Filho's titi,Primate,Callicebus coimbrai,750,EN,Endangered,Decrease,FALSE
Gray snub-nosed monkey,Primate,Rhinopithecus brelichi,750,EN,Endangered,Decrease,FALSE
White-headed langur,Primate,Trachypithecus poliocephalus,814,CR,Critically Endangered,Decrease,FALSE
Northern muriqui,Primate,Brachyteles hypoxanthus,855,CR,Critically Endangered,Decrease,FALSE
Black lion tamarin,Primate,Leontopithecus chrysopygus,1000,EN,Endangered,Decrease,FALSE
Tana River mangabey,Primate,Cercocebus galeritus,1100,EN,Endangered,Decrease,FALSE
Kipunji,Primate,Rungwecebus kipunji,1117,EN,Endangered,Decrease,FALSE
Sanje mangabey,Primate,Cercocebus sanjei,1300,EN,Endangered,Decrease,FALSE
Southern muriqui,Primate,Brachyteles arachnoides,1300,EN,Endangered,Decrease,FALSE
Golden bamboo lemur,Primate,Hapalemur aureus,1479,CR,Critically Endangered,Decrease,FALSE
Red slender loris,Primate,Loris tardigradus,1500,EN,Endangered,Decrease,FALSE
Black crested gibbon,Primate,Nomascus concolor,1650,CR,Critically Endangered,Decrease,FALSE
Zanzibar red colobus,Primate,Procolobus kirkii,2000,EN,Endangered,Decrease,FALSE
Black snub-nosed monkey,Primate,Rhinopithecus bieti,2000,EN,Endangered,Decrease,FALSE
Sangihe tarsier,Primate,Tarsius sangirensis,2250,EN,Endangered,Decrease,FALSE
Javan surili,Primate,Presbytis comata,2350,EN,Endangered,Decrease,FALSE
Lac Alaotra bamboo lemur,Primate,Hapalemur alaotrensis,2500,CR,Critically Endangered,Decrease,FALSE
Pagai Island macaque,Primate,Macaca pagensis,2800,CR,Critically Endangered,Decrease,FALSE
Golden lion tamarin,Primate,Leontopithecus rosalia,3200,EN,Endangered,Steady,FALSE
Moor macaque,Primate,Macaca maura,4000,EN,Endangered,Decrease,FALSE
Lion-tailed macaque,Primate,Macaca silenus,4000,EN,Endangered,Decrease,FALSE
Silvery gibbon,Primate,Hylobates moloch,4250,EN,Endangered,Decrease,FALSE
Gee's golden langur,Primate,Trachypithecus geei,5500,EN,Endangered,Decrease,FALSE
Eastern gorilla,Primate,Gorilla beringei,5880,CR,Critically Endangered,Decrease,FALSE
Siau Island tarsier,Primate,Tarsius tumpara,6000,CR,Critically Endangered,Decrease,FALSE
Cotton-top tamarin,Primate,Saguinus oedipus,6000,EN,Endangered,Decrease,FALSE
Gray-headed lemur,Primate,Eulemur cinereiceps,7265,CR,Critically Endangered,Decrease,FALSE
Sumatran orangutan,Primate,Pongo abelii,7300,CR,Critically Endangered,Decrease,FALSE
Golden-crowned sifaka,Primate,Propithecus tattersalli,8000,CR,Critically Endangered,Decrease,FALSE
Madame Berthe's mouse lemur,Primate,Microcebus berthae,8000,EN,Endangered,Decrease,FALSE
Natuna Island surili,Primate,Presbytis natunae,10000,VU,Vulnerable,Decrease,FALSE
Roosmalens' dwarf marmoset,Primate,Callibella humilis,10000,VU,Vulnerable,Decrease,FALSE
Golden-headed lion tamarin,Primate,Leontopithecus chrysomelas,10500,EN,Endangered,Decrease,FALSE
Pig-tailed langur,Primate,Simias concolor,11000,EN,Endangered,Decrease,FALSE
Barbary macaque,Primate,Macaca sylvanus,15000,EN,Endangered,Decrease,FALSE
Udzungwa red colobus,Primate,Procolobus gordonorum,15400,EN,Endangered,Decrease,FALSE
Northern giant mouse lemur,Primate,Mirza zaza,17000,VU,Vulnerable,Decrease,FALSE
Nilgiri langur,Primate,Trachypithecus johnii,20000,VU,Vulnerable,Decrease,FALSE
Red-eared guenon,Primate,Cercopithecus erythrotis,20000,VU,Vulnerable,Decrease,FALSE
Kloss's gibbon,Primate,Hylobates klossii,22500,EN,Endangered,Decrease,FALSE
Siberut macaque,Primate,Macaca siberu,24000,VU,Vulnerable,Decrease,FALSE
Mentawai langur,Primate,Presbytis potenziani,36000,EN,Endangered,Decrease,FALSE
Bonobo,Primate,Pan paniscus,40000,EN,Endangered,Decrease,FALSE
Bornean orangutan,Primate,Pongo pygmaeus,60000,CR,Critically Endangered,Decrease,FALSE
Western gorilla,Primate,Gorilla gorilla,200000,CR,Critically Endangered,Decrease,FALSE
Gelada,Primate,Theropithecus gelada,200000,LC,Least Concern,Decrease,FALSE
Chimpanzee,Primate,Pan troglodytes,250000,EN,Endangered,Decrease,FALSE
Müller's Bornean gibbon,Primate,Hylobates muelleri,315000,EN,Endangered,Decrease,FALSE
Crab-eating macaque,Primate,Macaca fascicularis,2500000,VU,Vulnerable,,FALSE
Human,Primate,Homo sapiens,7808000000,,,Increase,TRUE
